city,z,x,y,band,codec,raw_band_bytes,unpredicted_compressed_bytes,delta_compressed_bytes,delta_ratio
madrid,18,128374,98844,provenance,zstd3,262144,1041,1181,221.96782387806942
madrid,18,128374,98844,provenance,brotli5,262144,652,828,316.5990338164251
madrid,18,128375,98844,G,gzip6,262144,18549,11113,23.58894987852065
madrid,18,128375,98844,G,zstd3,262144,26910,16283,16.09924461094393
madrid,18,128375,98844,G,brotli5,262144,16843,11596,22.606416005519144
madrid,18,128375,98844,B,gzip6,262144,1617,1819,144.1143485431556
madrid,18,128375,98844,B,zstd3,262144,1459,1567,167.29036375239312
madrid,18,128375,98844,B,brotli5,262144,1059,1309,200.2627960275019
madrid,18,128375,98844,C0,gzip6,262144,806,737,355.69063772048844
madrid,18,128375,98844,C0,zstd3,262144,566,513,511.00194931773876
madrid,18,128375,98844,C0,brotli5,262144,412,394,665.3401015228426
madrid,18,128375,98844,C1,gzip6,262144,802,748,350.4598930481283
madrid,18,128375,98844,C1,zstd3,262144,580,523,501.23135755258124
madrid,18,128375,98844,C1,brotli5,262144,424,406,645.6748768472906
madrid,18,128375,98844,flags,gzip6,262144,1502,1783,147.02411665731913
madrid,18,128375,98844,flags,zstd3,262144,1414,1897,138.18871903004745
madrid,18,128375,98844,flags,brotli5,262144,713,929,282.1786867599569
madrid,18,128375,98844,provenance,gzip6,262144,1661,1917,136.7470005216484
madrid,18,128375,98844,provenance,zstd3,262144,1415,1738,150.83084004602992
madrid,18,128375,98844,provenance,brotli5,262144,991,1289,203.3700543056633
madrid,18,128376,98844,G,gzip6,262144,21617,10300,25.45087378640777
madrid,18,128376,98844,G,zstd3,262144,27745,14698,17.835351748537217
madrid,18,128376,98844,G,brotli5,262144,18917,10876,24.102979036410446
madrid,18,128376,98844,B,gzip6,262144,1054,1121,233.84834968777878
madrid,18,128376,98844,B,zstd3,262144,905,792,330.989898989899
madrid,18,128376,98844,B,brotli5,262144,448,580,451.97241379310344
madrid,18,128376,98844,C0,gzip6,262144,1668,1226,213.82055464926592
madrid,18,128376,98844,C0,zstd3,262144,1428,954,274.7840670859539
madrid,18,128376,98844,C0,brotli5,262144,1059,768,341.3333333333333
madrid,18,128376,98844,C1,gzip6,262144,1801,1233,212.6066504460665
madrid,18,128376,98844,C1,zstd3,262144,1532,935,280.3679144385027
madrid,18,128376,98844,C1,brotli5,262144,1135,765,342.6718954248366
madrid,18,128376,98844,flags,gzip6,262144,1147,1489,176.05372733378107
madrid,18,128376,98844,flags,zstd3,262144,991,850,308.4047058823529
madrid,18,128376,98844,flags,brotli5,262144,404,563,465.61989342806396
madrid,18,128376,98844,provenance,gzip6,262144,1216,1338,195.9222720478326
madrid,18,128376,98844,provenance,zstd3,262144,835,990,264.7919191919192
madrid,18,128376,98844,provenance,brotli5,262144,480,653,401.4456355283308
madrid,18,128372,98845,G,gzip6,262144,14141,11047,23.729881415768986
madrid,18,128372,98845,G,zstd3,262144,20538,16161,16.220778417177154
madrid,18,128372,98845,G,brotli5,262144,12874,11357,23.082151976754425
madrid,18,128372,98845,B,gzip6,262144,2828,3644,71.93852908891328
madrid,18,128372,98845,B,zstd3,262144,3746,3388,77.37426210153482
madrid,18,128372,98845,B,brotli5,262144,1892,2548,102.88226059654632
madrid,18,128372,98845,C0,gzip6,262144,358,395,663.6556962025317
madrid,18,128372,98845,C0,zstd3,262144,143,143,1833.1748251748252
madrid,18,128372,98845,C0,brotli5,262144,79,109,2404.9908256880735
madrid,18,128372,98845,C1,gzip6,262144,362,395,663.6556962025317
madrid,18,128372,98845,C1,zstd3,262144,143,144,1820.4444444444443
madrid,18,128372,98845,C1,brotli5,262144,78,111,2361.6576576576576
madrid,18,128372,98845,flags,gzip6,262144,2199,2397,109.363370880267
madrid,18,128372,98845,flags,zstd3,262144,2542,2892,90.64453665283541
madrid,18,128372,98845,flags,brotli5,262144,1153,1433,182.93370551290997
madrid,18,128372,98845,provenance,gzip6,262144,2826,3599,72.83801055848846
madrid,18,128372,98845,provenance,zstd3,262144,3581,3410,76.87507331378299
madrid,18,128372,98845,provenance,brotli5,262144,1686,2343,111.88390951771234
madrid,18,128373,98845,G,gzip6,262144,12947,9879,26.535479299524244
madrid,18,128373,98845,G,zstd3,262144,20359,15178,17.27131374357623
madrid,18,128373,98845,G,brotli5,262144,11581,9629,27.224426212483124
madrid,18,128373,98845,B,gzip6,262144,3252,4296,61.02048417132216
madrid,18,128373,98845,B,zstd3,262144,4367,4129,63.48849600387503
madrid,18,128373,98845,B,brotli5,262144,2487,3165,82.8259083728278
madrid,18,128373,98845,C0,gzip6,262144,2031,1903,137.75302154492906
madrid,18,128373,98845,C0,zstd3,262144,1949,1763,148.6920022688599
madrid,18,128373,98845,C0,brotli5,262144,1474,1360,192.75294117647059
madrid,18,128373,98845,C1,gzip6,262144,2047,1911,137.17634746206176
madrid,18,128373,98845,C1,zstd3,262144,1943,1717,152.67559697146186
madrid,18,128373,98845,C1,brotli5,262144,1467,1338,195.9222720478326
madrid,18,128373,98845,flags,gzip6,262144,2823,2995,87.52721202003339
madrid,18,128373,98845,flags,zstd3,262144,3423,3721,70.44987906476753
madrid,18,128373,98845,flags,brotli5,262144,1419,1935,135.47493540051678
madrid,18,128373,98845,provenance,gzip6,262144,3453,4485,58.449052396878486
madrid,18,128373,98845,provenance,zstd3,262144,4399,4403,59.53758800817624
madrid,18,128373,98845,provenance,brotli5,262144,2265,3115,84.1553772070626
madrid,18,128374,98845,G,gzip6,262144,12502,10291,25.47313186279273
madrid,18,128374,98845,G,zstd3,262144,21620,13647,19.20891038323441
madrid,18,128374,98845,G,brotli5,262144,11855,10911,24.025662175785904
madrid,18,128374,98845,B,gzip6,262144,1474,1597,164.1477770820288
madrid,18,128374,98845,B,zstd3,262144,1279,1086,241.38489871086557
madrid,18,128374,98845,B,brotli5,262144,602,882,297.2154195011338
madrid,18,128374,98845,C0,gzip6,262144,1349,1330,197.10075187969926
madrid,18,128374,98845,C0,zstd3,262144,1222,1127,232.60337178349602
madrid,18,128374,98845,C0,brotli5,262144,912,920,284.9391304347826
madrid,18,128374,98845,C1,gzip6,262144,1352,1313,199.65270373191166
madrid,18,128374,98845,C1,zstd3,262144,1196,1122,233.63992869875221
madrid,18,128374,98845,C1,brotli5,262144,910,888,295.2072072072072
madrid,18,128374,98845,flags,gzip6,262144,1442,1731,151.44078567302137
madrid,18,128374,98845,flags,zstd3,262144,1430,1499,174.87925283522347
madrid,18,128374,98845,flags,brotli5,262144,519,747,350.92904953145916
madrid,18,128374,98845,provenance,gzip6,262144,1649,1905,137.60839895013123
madrid,18,128374,98845,provenance,zstd3,262144,1521,1494,175.46452476572958
madrid,18,128374,98845,provenance,brotli5,262144,656,931,281.57250268528463
madrid,18,128375,98845,G,gzip6,262144,15178,10481,25.011353878446712
madrid,18,128375,98845,G,zstd3,262144,23949,15144,17.310089804543054
madrid,18,128375,98845,G,brotli5,262144,13858,10706,24.485708948253315
madrid,18,128375,98845,B,gzip6,262144,2377,2445,107.21635991820041
madrid,18,128375,98845,B,zstd3,262144,2500,1869,140.258962011771
madrid,18,128375,98845,B,brotli5,262144,872,1310,200.10992366412214
madrid,18,128375,98845,C0,gzip6,262144,724,688,381.0232558139535
madrid,18,128375,98845,C0,zstd3,262144,532,468,560.1367521367522
madrid,18,128375,98845,C0,brotli5,262144,359,370,708.4972972972973
madrid,18,128375,98845,C1,gzip6,262144,725,692,378.8208092485549
madrid,18,128375,98845,C1,zstd3,262144,516,469,558.9424307036247
madrid,18,128375,98845,C1,brotli5,262144,356,368,712.3478260869565
madrid,18,128375,98845,flags,gzip6,262144,2384,2255,116.25011086474501
madrid,18,128375,98845,flags,zstd3,262144,2129,2471,106.08822339133954
madrid,18,128375,98845,flags,brotli5,262144,638,960,273.06666666666666
madrid,18,128375,98845,provenance,gzip6,262144,2376,2429,107.92260189378345
madrid,18,128375,98845,provenance,zstd3,262144,2379,1789,146.5310229178312
madrid,18,128375,98845,provenance,brotli5,262144,792,1185,221.2185654008439
madrid,18,128376,98845,G,gzip6,262144,16073,9977,26.274832113861883
madrid,18,128376,98845,G,zstd3,262144,19974,14761,17.759230404444143
madrid,18,128376,98845,G,brotli5,262144,14176,10447,25.092753900641334
madrid,18,128376,98845,B,gzip6,262144,3007,3744,70.01709401709402
madrid,18,128376,98845,B,zstd3,262144,3058,2661,98.51334084930477
madrid,18,128376,98845,B,brotli5,262144,1541,2096,125.06870229007633
madrid,18,128376,98845,C0,gzip6,262144,674,640,409.6
madrid,18,128376,98845,C0,zstd3,262144,474,429,611.0582750582751
madrid,18,128376,98845,C0,brotli5,262144,345,343,764.268221574344
madrid,18,128376,98845,C1,gzip6,262144,682,636,412.17610062893084
madrid,18,128376,98845,C1,zstd3,262144,483,429,611.0582750582751
madrid,18,128376,98845,C1,brotli5,262144,346,339,773.2861356932153
madrid,18,128376,98845,flags,gzip6,262144,3161,2829,92.6631318487098
madrid,18,128376,98845,flags,zstd3,262144,2938,3881,67.54547796959547
madrid,18,128376,98845,flags,brotli5,262144,977,1335,196.3625468164794
